date,exchange_rate
20/02/2014,563
23/02/2014,611.05
26/02/2014,585.21
01/03/2014,567.48
04/03/2014,673.28
07/03/2014,631.99
10/03/2014,629.33
13/03/2014,641.01
16/03/2014,634.99
19/03/2014,611.2
22/03/2014,563.01
25/03/2014,585.79
28/03/2014,499.6
01/04/2014,457.49
04/04/2014,448.72
07/04/2014,458
10/04/2014,441.93
13/04/2014,423.37
16/04/2014,523
19/04/2014,482.11
22/04/2014,498.38
25/04/2014,502.15
28/04/2014,438.8
01/05/2014,452.03
04/05/2014,440
07/05/2014,428.01
10/05/2014,449
13/05/2014,442.45
16/05/2014,446.53
19/05/2014,446.89
22/05/2014,493.97
25/05/2014,527.91
28/05/2014,572.7
31/05/2014,621.3
03/06/2014,662
06/06/2014,661.48
09/06/2014,657.11
12/06/2014,624.97
15/06/2014,572.28
18/06/2014,608
21/06/2014,593.48
24/06/2014,588.25
27/06/2014,577.34
30/06/2014,599.99
03/07/2014,650.49
06/07/2014,631
09/07/2014,624.97
12/07/2014,634
15/07/2014,621.21
18/07/2014,625.8
21/07/2014,627
24/07/2014,620.43
27/07/2014,595.9
30/07/2014,585.5
02/08/2014,595.76
05/08/2014,588.5
08/08/2014,585.02
11/08/2014,590.74
14/08/2014,549.98
17/08/2014,523.88
20/08/2014,490
23/08/2014,515.69
26/08/2014,501.55
29/08/2014,506.61
01/09/2014,478.87
04/09/2014,474.5
07/09/2014,479.59
10/09/2014,473.35
13/09/2014,474.62
16/09/2014,470.83
19/09/2014,425.56
22/09/2014,401.15
25/09/2014,423.68
28/09/2014,400.39
01/10/2014,390.18
04/10/2014,358.9
07/10/2014,327.61
10/10/2014,363.61
13/10/2014,380.8
16/10/2014,394.84
19/10/2014,391
22/10/2014,385.89
25/10/2014,358.49
27/10/2014,350.9
30/10/2014,345.3
02/11/2014,324.36
05/11/2014,338.63
08/11/2014,346.94
11/11/2014,369.41
14/11/2014,399.11
17/11/2014,388.87
20/11/2014,356.47
23/11/2014,367.12
26/11/2014,366.86
29/11/2014,375.59
02/12/2014,379.62
05/12/2014,376
08/12/2014,362.99
11/12/2014,348.97
14/12/2014,357.8
17/12/2014,321.34
20/12/2014,331.52
23/12/2014,336.95
26/12/2014,329.94
29/12/2014,313.4
01/01/2015,314.81
04/01/2015,263.17
07/01/2015,297.99
10/01/2015,275.97
13/01/2015,222
16/01/2015,208.13
19/01/2015,216.01
22/01/2015,233.51
25/01/2015,254.32
28/01/2015,236.2
31/01/2015,219.25
03/02/2015,227.53
06/02/2015,222.36
09/02/2015,219.93
12/02/2015,222.33
15/02/2015,234.18
18/02/2015,237.44
21/02/2015,245.41
24/02/2015,239.94
27/02/2015,252.11
02/03/2015,275.87
05/03/2015,273.11
08/03/2015,275
11/03/2015,296.56
